accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
74.75,3.12,70.86,5.62,62.42,4.95,65.98,1.43,77.10,4.54,82.70,5.53,79.69,3.90,188,386,114,80,0.125,0.5,0.5
72.93,3.89,63.23,3.06,60.75,4.93,61.83,3.05,77.99,4.56,79.54,5.01,78.72,4.42,169,391,109,99,0.125,0.5,1
73.05,3.00,60.22,3.45,61.79,5.69,60.71,2.07,80.17,2.93,78.67,5.20,79.33,3.30,160,401,99,108,0.125,0.5,2
68.36,3.39,61.23,13.80,54.11,4.20,56.55,6.00,72.86,3.91,77.90,8.28,74.90,3.01,161,364,136,107,0.125,0.5,4
72.40,2.29,82.29,5.12,57.23,4.73,67.23,2.85,67.30,3.58,87.15,5.05,75.88,3.42,219,337,163,49,0.125,1,0.03125
72.79,2.80,81.99,6.05,57.75,4.67,67.47,3.05,68.09,3.94,87.07,5.66,76.33,3.85,218,341,159,50,0.125,1,0.0625
72.27,3.34,81.99,5.46,57.16,3.97,67.13,2.52,67.19,4.77,86.80,5.66,75.68,4.67,218,337,163,50,0.125,1,0.125
72.79,2.64,84.28,5.37,57.54,4.32,68.10,2.24,66.85,4.34,88.18,5.46,75.97,4.08,224,335,165,44,0.125,1,0.25
72.27,2.70,78.08,6.13,57.67,4.29,66.01,1.78,69.51,3.74,84.93,5.71,76.36,3.69,207,348,152,61,0.125,1,0.5
72.53,3.34,70.09,6.05,58.86,6.25,63.69,4.71,73.96,3.61,82.01,5.70,77.67,3.61,187,370,130,81,0.125,1,1
71.62,3.42,68.28,6.10,58.07,4.58,62.44,2.40,73.71,3.96,80.78,5.70,76.99,3.87,181,369,131,87,0.125,1,2
68.88,3.50,70.93,6.08,54.04,6.62,61.02,5.42,68.05,2.49,81.18,6.02,73.93,3.28,189,340,160,79,0.125,1,4
67.45,3.42,89.76,5.98,52.02,6.62,65.42,5.17,56.00,3.85,90.80,5.46,69.07,2.60,239,279,221,29,0.125,2,0.03125
67.32,2.69,88.52,5.29,51.82,5.99,65.01,4.73,56.28,3.10,89.85,5.00,69.08,2.41,236,281,219,32,0.125,2,0.0625
67.83,3.36,91.55,4.86,52.34,6.74,66.14,5.18,55.62,4.06,92.23,4.55,69.18,2.42,244,277,223,24,0.125,2,0.125
68.23,1.86,89.29,6.68,52.65,5.62,65.81,4.09,57.23,4.76,90.83,4.94,69.95,2.61,238,286,214,30,0.125,2,0.25
69.40,2.47,82.26,7.59,54.31,5.28,64.89,2.25,62.98,5.78,86.36,6.27,72.58,4.01,218,315,185,50,0.125,2,0.5
70.84,4.23,75.19,6.68,56.03,6.01,63.95,5.34,68.74,3.01,83.42,6.85,75.31,4.36,200,344,156,68,0.125,2,1
71.09,1.65,68.38,7.13,57.55,6.04,61.86,2.46,73.13,4.04,80.92,5.78,76.59,2.25,181,365,135,87,0.125,2,2
69.66,1.94,74.49,5.68,54.57,6.73,62.68,5.44,67.02,3.57,83.19,3.91,74.10,2.02,200,335,165,68,0.125,2,4
59.62,6.70,94.55,3.93,46.44,7.89,61.79,7.30,41.44,6.92,93.78,3.84,56.98,6.32,253,205,295,15,0.125,4,0.03125
59.62,7.97,94.55,3.93,46.64,8.52,61.88,7.89,41.57,8.81,93.84,3.57,56.89,8.26,253,205,295,15,0.125,4,0.0625
61.06,4.35,94.18,4.18,47.09,6.63,62.43,6.00,43.55,4.57,93.53,4.41,59.17,3.88,252,217,283,16,0.125,4,0.125
65.36,3.37,91.21,5.86,50.20,6.54,64.35,5.58,51.71,5.23,92.04,4.54,65.88,3.02,244,258,242,24,0.125,4,0.25
