accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
70.32,3.65,19.58,7.18,84.39,12.90,30.60,10.11,97.71,1.79,69.39,5.01,81.00,2.70,52,488,12,216,2,0.125,0.03125
70.71,3.67,20.98,6.92,85.56,13.20,32.49,8.35,97.74,2.17,69.72,5.29,81.21,2.72,55,488,12,213,2,0.125,0.0625
71.49,4.16,25.32,8.68,83.20,11.22,37.24,9.33,96.69,2.35,70.64,5.78,81.44,3.14,66,483,17,202,2,0.125,0.125
70.32,4.20,17.99,2.01,87.16,10.97,29.61,2.20,98.40,1.37,69.08,4.99,81.07,3.35,48,492,8,220,2,0.125,0.25
72.01,4.10,29.38,5.83,74.94,2.65,41.90,6.14,94.72,1.49,71.43,4.89,81.37,3.43,79,474,26,189,2,0.125,0.5
73.18,3.37,34.61,7.75,77.05,8.85,46.64,7.00,94.03,2.61,72.80,5.15,81.92,2.87,92,470,30,176,2,0.125,1
71.23,5.21,42.47,8.71,63.29,6.13,50.24,7.01,87.24,1.60,73.68,6.90,79.70,4.09,111,436,64,157,2,0.125,2
66.93,3.25,37.12,5.56,55.17,11.08,43.50,5.78,83.57,5.20,71.23,5.14,76.61,2.33,98,416,84,170,2,0.125,4
71.89,5.23,24.87,8.87,86.78,9.74,37.24,10.07,97.71,1.79,70.71,6.28,81.82,3.63,64,488,12,204,2,0.25,0.03125
71.76,4.30,22.70,6.81,86.17,9.79,35.32,8.29,98.03,1.22,70.33,5.01,81.78,3.24,61,490,10,207,2,0.25,0.0625
71.23,5.02,22.39,5.70,84.66,6.76,34.88,6.22,97.84,1.02,70.02,5.89,81.47,3.68,58,489,11,210,2,0.25,0.125
73.31,4.82,31.11,4.25,81.45,6.84,44.79,4.33,96.17,1.72,72.09,5.62,82.29,3.83,82,481,19,186,2,0.25,0.25
74.48,4.02,40.62,7.81,75.30,4.60,52.14,6.31,93.04,1.28,74.34,5.78,82.50,3.21,107,465,35,161,2,0.25,0.5
72.79,2.92,37.13,7.23,71.44,7.08,48.14,5.97,92.05,2.27,73.17,4.95,81.39,2.58,99,460,40,169,2,0.25,1
71.22,2.58,48.80,5.44,61.69,10.83,53.77,5.67,83.70,4.80,75.26,4.48,79.03,1.98,130,417,83,138,2,0.25,2
68.10,2.15,48.30,4.70,55.85,10.16,50.99,4.03,79.37,5.20,74.02,4.70,76.32,1.64,128,395,105,140,2,0.25,4
73.97,4.69,32.43,5.94,83.43,6.21,46.31,5.55,96.62,1.28,72.54,5.77,82.73,3.60,85,483,17,183,2,0.5,0.03125
74.10,4.19,33.03,5.11,83.06,7.07,46.86,4.67,96.44,1.46,72.72,5.47,82.79,3.30,87,482,18,181,2,0.5,0.0625
75.14,4.53,38.55,7.62,80.80,6.00,51.55,6.62,95.28,1.31,74.12,6.01,83.21,3.41,101,476,24,167,2,0.5,0.125
75.92,3.73,41.35,2.99,80.43,5.30,54.43,2.04,94.56,1.91,74.88,4.97,83.50,3.31,110,473,27,158,2,0.5,0.25
74.87,3.20,46.08,9.58,71.85,5.78,55.33,7.76,90.43,2.97,75.79,5.08,82.31,2.62,123,452,48,145,2,0.5,0.5
72.92,3.16,40.40,5.20,68.16,7.71,50.64,5.86,90.19,1.34,73.86,4.27,81.15,2.78,109,451,49,159,2,0.5,1
70.97,0.83,54.77,5.41,59.72,8.06,56.39,2.61,80.28,4.00,76.65,4.94,78.18,1.04,145,400,100,123,2,0.5,2
66.66,3.37,55.31,10.93,53.49,9.16,52.93,5.35,73.96,7.95,75.55,6.35,74.11,2.81,145,367,133,123,2,0.5,4
76.57,3.47,46.55,3.59,77.26,4.41,57.97,3.04,92.77,1.24,76.23,4.80,83.62,3.07,124,464,36,144,2,1,0.03125
76.31,3.72,47.06,4.33,76.05,4.93,57.96,3.44,92.17,1.55,76.25,5.09,83.38,3.25,125,461,39,143,2,1,0.0625
76.31,4.19,51.01,8.37,73.60,3.72,59.73,5.24,90.42,1.29,77.19,6.19,83.13,3.40,134,452,48,134,2,1,0.125
76.96,3.32,51.53,2.81,74.94,5.45,60.87,1.17,90.77,2.21,77.51,4.87,83.54,3.12,137,454,46,131,2,1,0.25
74.48,2.94,52.05,11.89,68.61,7.43,57.76,7.15,87.18,4.67,77.14,6.16,81.55,2.42,137,435,65,131,2,1,0.5
71.23,2.05,40.99,7.95,62.75,8.47,49.16,7.13,87.24,2.39,73.55,4.23,79.69,2.11,111,436,64,157,2,1,1
69.79,1.99,61.17,8.31,56.58,6.96,58.03,3.63,74.97,4.71,78.11,5.56,76.25,2.22,162,374,126,106,2,1,2
67.44,3.81,63.75,5.66,53.85,9.74,57.42,5.46,70.36,7.19,78.27,4.66,73.64,2.91,169,349,151,99,2,1,4
77.09,3.68,55.40,6.32,72.94,2.94,62.63,2.99,89.20,0.48,78.50,5.79,83.40,3.20,146,446,54,122,2,2,0.03125
77.22,3.18,56.45,4.36,72.37,3.01,63.23,1.84,88.53,1.73,78.85,4.92,83.35,3.11,150,443,57,118,2,2,0.0625
75.01,3.50,61.24,10.52,66.06,5.44,62.63,3.42,83.33,3.22,79.64,7.25,81.17,3.14,160,416,84,108,2,2,0.125
76.70,3.47,60.02,8.41,70.58,8.09,63.95,2.51,86.23,4.71,79.72,6.13,82.65,3.49,158,431,69,110,2,2,0.25
70.71,2.21,55.82,10.81,60.36,9.58,56.31,4.01,79.23,8.75,77.08,5.41,77.61,3.29,148,395,105,120,2,2,0.5
69.15,2.25,39.99,8.16,58.71,6.80,46.75,5.65,84.85,4.27,72.57,4.91,78.03,2.53,107,424,76,161,2,2,1
67.84,2.53,59.41,7.73,53.90,7.07,55.83,4.16,73.01,4.12,76.86,5.92,74.62,2.27,157,364,136,111,2,2,2
66.53,1.43,62.51,5.78,52.05,7.50,56.15,4.03,69.31,4.27,77.42,4.82,72.87,0.57,166,345,155,102,2,2,4
75.92,4.27,64.38,8.06,66.31,2.36,64.97,3.10,82.40,4.07,80.68,6.22,81.44,4.42,170,413,87,98,2,4,0.03125
75.79,3.84,66.20,9.41,65.89,5.31,65.32,2.82,81.58,4.41,81.33,6.88,81.26,3.98,174,408,92,94,2,4,0.0625
74.36,4.02,67.72,8.70,62.66,4.70,64.56,3.27,78.60,3.23,81.41,7.02,79.81,3.91,178,393,107,90,2,4,0.125
75.13,3.17,57.10,11.11,68.75,8.74,60.92,4.18,84.28,9.22,78.86,4.28,81.12,4.49,154,423,77,114,2,4,0.25
67.84,2.96,36.58,6.46,59.19,14.70,43.67,6.15,84.88,7.30,71.43,4.17,77.29,2.91,98,423,77,170,2,4,0.5
67.59,3.79,41.13,6.66,54.07,4.82,46.55,5.56,81.15,4.28,72.08,4.32,76.31,3.97,112,407,93,156,2,4,1
68.88,2.07,64.57,7.34,54.71,5.21,58.71,2.76,71.64,3.44,78.77,5.86,74.85,2.64,171,358,142,97,2,4,2
66.01,5.42,62.48,8.15,52.69,10.05,55.88,5.93,69.12,10.08,77.44,4.90,72.26,5.13,165,342,158,103,2,4,4
75.92,5.29,63.41,5.64,66.75,6.08,64.79,4.13,82.79,5.33,80.33,6.19,81.48,5.27,168,415,85,100,2,8,0.03125
75.40,4.95,58.63,8.69,67.26,3.02,62.25,4.85,84.90,2.31,78.84,6.95,81.64,4.39,154,425,75,114,2,8,0.0625
72.27,3.08,58.13,12.34,62.40,7.13,58.67,3.33,80.54,8.29,78.30,6.87,78.80,3.78,153,402,98,115,2,8,0.125
71.23,5.20,40.60,10.53,64.71,4.33,48.96,7.12,88.11,3.90,73.20,6.96,79.79,4.51,106,441,59,162,2,8,0.25
66.66,4.95,39.45,21.87,49.61,15.42,41.85,19.13,80.44,9.88,72.35,5.39,75.61,4.54,110,402,98,158,2,8,0.5
68.11,4.88,43.26,6.82,56.16,4.57,48.33,3.43,80.52,8.41,72.57,4.39,76.23,5.79,118,405,95,150,2,8,1
65.88,3.33,71.55,5.67,50.67,6.76,59.00,5.32,62.78,5.56,80.46,3.95,70.36,3.89,192,314,186,76,2,8,2
65.49,3.69,66.48,8.77,51.22,8.34,56.88,5.05,65.91,7.69,78.63,5.38,71.10,3.39,176,327,173,92,2,8,4
73.71,3.69,47.76,16.30,70.28,8.75,54.23,9.20,88.90,5.49,76.04,7.90,81.44,2.42,123,443,57,145,2,16,0.03125
73.84,6.41,55.09,17.95,66.68,4.68,58.15,11.77,84.01,8.90,77.80,7.94,80.33,5.90,145,422,78,123,2,16,0.0625
71.36,4.52,54.32,11.64,62.02,10.82,56.23,6.45,81.53,7.56,76.81,7.06,78.59,3.79,142,406,94,126,2,16,0.125
70.06,6.16,25.65,6.68,69.41,14.28,37.14,8.70,94.20,2.60,70.15,6.34,80.27,4.53,67,471,29,201,2,16,0.25
66.41,2.64,43.72,12.33,54.05,12.71,46.50,7.80,78.28,10.31,72.59,3.63,74.82,4.15,119,391,109,149,2,16,0.5
65.88,3.09,47.64,7.04,51.02,8.48,48.91,6.35,74.98,7.03,72.93,3.28,73.81,4.41,130,376,124,138,2,16,1
66.53,4.26,64.52,5.72,51.66,7.92,57.01,6.04,67.35,7.47,78.04,3.50,72.09,5.07,174,337,163,94,2,16,2
64.71,2.45,64.81,9.29,49.61,6.90,55.57,5.52,65.21,4.09,77.53,6.01,70.55,1.89,172,325,175,96,2,16,4
67.85,3.57,12.56,6.27,76.95,16.36,20.58,9.80,97.46,1.73,67.58,4.75,79.68,2.81,34,487,13,234,4,0.0625,0.03125
68.63,3.57,14.22,5.50,82.05,15.35,23.35,8.37,97.89,1.77,68.06,4.86,80.15,2.77,38,489,11,230,4,0.0625,0.0625
69.41,4.38,16.89,8.14,85.02,12.93,26.63,11.86,97.91,1.87,68.71,5.54,80.57,3.09,44,489,11,224,4,0.0625,0.125
67.20,5.30,9.88,4.50,68.33,18.56,17.13,7.31,97.74,1.48,66.95,5.22,79.38,4.01,27,489,11,241,4,0.0625,0.25
69.28,4.27,17.79,2.88,75.04,11.01,28.63,4.18,96.77,1.58,68.69,4.88,80.26,3.48,48,484,16,220,4,0.0625,0.5
73.32,4.03,35.17,6.14,76.96,8.11,47.55,4.15,94.30,2.35,72.88,5.80,82.04,3.20,92,471,29,176,4,0.0625,1
72.15,4.73,41.59,8.25,66.52,5.90,50.57,6.26,89.03,2.21,73.79,6.41,80.52,3.75,109,445,55,159,4,0.0625,2
67.20,5.24,39.35,9.75,53.91,6.28,44.90,7.50,82.02,5.11,71.66,6.28,76.30,4.69,105,411,89,163,4,0.0625,4
69.15,3.41,16.27,6.42,80.83,14.96,26.07,9.78,97.46,1.73,68.52,4.66,80.34,2.73,44,487,13,224,4,0.125,0.03125
70.06,3.94,18.26,6.87,86.40,12.80,28.99,9.53,98.11,1.81,69.11,5.25,80.93,2.88,48,490,10,220,4,0.125,0.0625
70.72,4.90,21.04,9.39,85.72,9.93,32.10,12.97,97.64,1.60,69.73,5.79,81.19,3.49,55,488,12,213,4,0.125,0.125
70.33,5.22,19.76,4.03,84.21,10.84,31.55,4.83,97.53,2.28,69.29,5.61,80.91,4.08,52,488,12,216,4,0.125,0.25
71.62,3.64,27.80,3.58,75.09,3.82,40.36,3.63,94.92,1.70,71.01,4.56,81.18,3.25,75,475,25,193,4,0.125,0.5
73.71,3.10,40.93,6.35,72.07,6.66,51.64,4.29,91.71,1.78,74.18,5.35,81.86,2.56,108,458,42,160,4,0.125,1
71.75,4.40,45.97,5.79,63.68,4.57,52.96,3.38,85.98,3.13,74.53,6.05,79.70,3.83,121,430,70,147,4,0.125,2
67.97,3.78,45.37,10.22,54.85,4.73,48.97,6.15,79.80,5.69,73.33,5.62,76.21,4.05,122,400,100,146,4,0.125,4
69.81,6.26,19.95,12.23,82.89,9.85,29.58,15.89,97.29,1.92,69.32,6.96,80.70,4.12,50,486,14,218,4,0.25,0.03125
70.59,5.53,18.79,9.58,86.46,8.10,29.67,12.66,98.41,1.01,69.40,5.69,81.25,3.82,50,492,8,218,4,0.25,0.0625
69.67,4.36,16.23,3.79,85.50,8.70,26.92,5.10,98.43,0.95,68.63,5.16,80.75,3.33,43,492,8,225,4,0.25,0.125
73.32,3.74,32.18,3.85,78.91,2.96,45.50,3.62,95.35,1.21,72.32,4.81,82.17,3.19,86,477,23,182,4,0.25,0.25
74.35,3.66,39.30,4.41,75.83,5.09,51.47,3.22,93.43,0.99,74.00,5.28,82.47,3.08,104,467,33,164,4,0.25,0.5
74.10,4.12,47.61,12.29,69.63,4.97,55.34,7.26,89.09,2.81,75.79,6.97,81.65,3.27,124,445,55,144,4,0.25,1
70.97,3.20,52.09,5.82,59.70,4.16,55.28,2.63,81.38,2.42,75.79,5.60,78.36,3.14,138,407,93,130,4,0.25,2
66.67,4.22,52.22,9.72,52.22,4.53,51.69,4.94,74.13,6.97,74.45,6.10,74.02,4.98,140,372,128,128,4,0.25,4
72.14,4.07,26.40,5.21,82.27,9.57,39.45,5.57,96.82,1.97,70.97,5.20,81.78,3.27,70,484,16,198,4,0.5,0.03125
73.84,4.66,32.27,5.26,82.59,6.62,46.10,5.30,96.40,1.52,72.47,5.59,82.62,3.64,85,482,18,183,4,0.5,0.0625
74.36,3.90,33.39,6.25,84.88,8.06,47.22,5.33,96.64,1.93,72.88,5.38,82.96,3.11,88,483,17,180,4,0.5,0.125
76.18,3.60,47.16,5.71,75.66,3.32,57.80,3.85,91.66,2.75,76.26,4.71,83.19,3.36,126,459,41,142,4,0.5,0.25
74.48,2.83,45.80,4.66,70.74,5.18,55.30,3.17,90.03,1.26,75.49,4.88,82.01,2.63,122,450,50,146,4,0.5,0.5
72.14,3.31,50.24,7.84,63.00,6.06,55.24,4.36,84.54,1.94,75.79,6.23,79.72,2.78,132,422,78,136,4,0.5,1
67.84,2.95,54.89,9.24,54.15,6.25,53.75,4.80,75.32,4.58,75.67,6.41,75.18,2.86,145,376,124,123,4,0.5,2
65.89,4.49,61.01,11.85,51.45,4.89,54.93,3.92,68.57,9.51,76.83,7.41,71.86,6.11,162,344,156,106,4,0.5,4
76.31,4.18,45.19,5.09,77.94,2.81,56.99,4.02,93.12,1.70,75.81,5.30,83.50,3.60,120,466,34,148,4,1,0.03125
76.57,4.03,48.32,5.20,76.21,4.63,58.88,3.72,91.95,1.98,76.60,5.39,83.49,3.51,128,460,40,140,4,1,0.0625
76.96,4.20,49.88,4.65,76.31,3.18,60.17,3.20,91.72,1.72,77.04,5.43,83.67,3.65,132,459,41,136,4,1,0.125
75.27,3.83,57.34,2.44,67.33,5.19,61.74,1.50,84.81,4.45,78.47,4.87,81.47,4.18,153,425,75,115,4,1,0.25
73.97,3.10,52.07,10.04,67.45,5.93,57.66,3.51,86.56,3.49,76.84,6.67,81.13,2.75,136,432,68,132,4,1,0.5
69.67,2.28,48.26,11.16,59.73,7.74,51.69,3.94,82.40,5.78,74.68,6.91,77.86,1.78,125,410,90,143,4,1,1
66.54,4.17,64.01,4.61,51.81,4.77,56.99,2.31,68.06,5.52,77.46,5.76,72.33,4.84,170,341,159,98,4,1,2
65.23,2.89,67.24,9.46,49.93,6.02,56.91,5.52,63.83,7.19,78.89,5.62,70.16,4.60,181,320,180,87,4,1,4
76.05,4.43,55.35,8.65,70.38,2.81,61.50,4.47,87.78,0.93,78.14,6.65,82.54,3.77,145,439,61,123,4,2,0.03125
76.83,3.58,57.54,8.24,70.92,3.34,63.10,4.40,87.57,1.60,79.05,5.76,82.98,3.18,152,438,62,116,4,2,0.0625
76.05,3.90,58.67,8.59,68.88,3.68,62.82,3.50,86.00,1.98,79.09,6.54,82.25,3.52,154,430,70,114,4,2,0.125
72.53,2.71,70.98,6.70,58.90,5.62,63.96,3.70,73.53,4.74,82.30,5.12,77.52,3.53,189,368,132,79,4,2,0.25
69.93,3.23,53.94,10.80,58.59,7.39,54.89,4.15,79.46,5.60,76.15,7.07,77.35,2.94,141,396,104,127,4,2,0.5
67.32,4.22,52.54,13.07,53.83,5.11,52.06,5.12,76.35,4.50,74.73,8.42,75.14,3.76,136,381,119,132,4,2,1
64.32,6.10,67.30,8.33,50.50,8.45,56.66,3.17,63.28,12.18,77.87,6.53,69.06,7.99,178,316,184,90,4,2,2
65.37,3.70,67.38,8.70,50.23,5.23,57.18,4.26,63.67,9.70,78.89,4.43,69.92,6.48,182,320,180,86,4,2,4
74.36,3.73,64.41,9.48,63.68,4.15,63.36,2.13,80.04,5.67,80.32,6.44,79.99,4.45,170,401,99,98,4,4,0.03125
74.61,1.97,67.94,9.88,63.63,7.06,64.65,1.55,78.96,5.77,81.84,6.35,80.03,2.68,179,394,106,89,4,4,0.0625
76.18,3.22,65.81,12.23,66.40,3.51,65.19,5.26,81.86,5.29,81.82,6.53,81.54,3.33,175,410,90,93,4,4,0.125
72.78,2.51,73.07,13.97,59.22,8.18,64.30,6.46,71.63,10.36,84.86,5.10,76.96,4.28,199,360,140,69,4,4,0.25
67.71,3.28,34.96,3.31,56.77,12.54,42.87,5.83,85.37,4.32,71.01,4.43,77.38,2.88,94,426,74,174,4,4,0.5
65.23,3.59,55.75,8.96,50.10,5.51,52.26,5.09,70.87,1.65,74.75,7.05,72.56,3.14,147,354,146,121,4,4,1
64.45,6.45,68.66,7.29,50.22,6.66,57.36,3.00,62.11,12.32,78.39,6.19,68.59,8.87,183,312,188,85,4,4,2
64.46,3.34,67.97,7.24,49.15,5.67,56.74,4.88,62.47,6.17,78.37,4.97,69.32,4.75,182,313,187,86,4,4,4
73.97,4.20,65.51,3.53,62.15,6.05,63.59,3.66,78.39,5.67,80.57,4.95,79.41,4.87,175,393,107,93,4,8,0.03125
74.87,3.19,64.29,10.69,64.85,5.63,63.65,2.71,81.56,3.53,80.55,7.40,80.76,3.02,168,407,93,100,4,8,0.0625
70.44,1.96,50.75,9.01,60.07,10.83,53.85,5.10,81.11,7.05,75.62,4.63,77.93,2.78,136,405,95,132,4,8,0.125
67.71,3.27,56.01,12.75,54.83,7.74,53.84,5.41,73.64,11.73,76.18,4.29,74.20,5.83,151,369,131,117,4,8,0.25
64.32,2.31,35.84,14.56,45.70,12.81,39.66,13.51,78.70,4.66,70.16,3.73,74.03,2.59,100,394,106,168,4,8,0.5
64.72,4.66,55.12,4.90,50.17,6.51,51.96,2.15,70.09,7.07,74.05,6.62,71.82,5.51,146,351,149,122,4,8,1
59.89,7.22,70.57,7.08,45.95,7.62,55.00,5.01,53.77,14.68,76.97,4.09,62.29,11.34,190,270,230,78,4,8,2
63.41,3.49,70.42,5.78,48.33,6.33,56.98,4.90,59.16,8.72,79.01,2.93,67.30,6.09,190,297,203,78,4,8,4
69.93,4.81,44.62,18.78,62.18,7.32,48.68,10.33,85.10,7.74,74.19,8.99,78.52,3.66,113,424,76,155,4,16,0.03125
71.62,4.27,56.81,17.85,60.73,3.11,56.49,10.90,79.78,8.17,77.77,7.30,78.26,4.44,150,400,100,118,4,16,0.0625
70.70,4.61,47.78,7.08,62.64,14.77,52.87,6.99,83.88,7.66,74.88,5.40,78.72,3.47,126,417,83,142,4,16,0.125
65.11,6.69,36.51,9.30,54.90,17.16,41.71,4.73,79.57,13.40,69.95,4.72,74.04,7.86,100,400,100,168,4,16,0.25
64.99,5.02,39.52,7.98,51.01,9.97,43.62,5.18,78.25,10.02,70.68,4.59,73.96,6.01,107,392,108,161,4,16,0.5
57.40,9.49,56.27,4.96,43.99,11.18,48.21,6.67,58.35,15.38,70.37,7.57,63.04,11.22,150,291,209,118,4,16,1
62.23,7.84,68.10,8.98,47.74,8.80,55.60,7.07,58.53,13.91,77.43,5.54,65.80,10.70,184,294,206,84,4,16,2
63.68,5.57,70.12,5.69,48.92,6.47,57.23,4.34,59.66,11.86,78.71,3.81,67.25,9.07,189,300,200,79,4,16,4
68.63,3.69,13.77,8.16,80.48,13.95,22.28,12.02,97.80,1.61,68.01,4.52,80.13,2.87,38,489,11,230,8,0.0625,0.03125
67.72,4.18,11.87,4.22,76.67,14.12,19.99,6.66,97.61,1.30,67.40,4.95,79.63,3.30,32,488,12,236,8,0.0625,0.0625
70.45,3.52,20.16,9.58,82.41,14.02,30.81,13.49,97.24,1.88,69.57,4.52,80.99,2.62,55,486,14,213,8,0.0625,0.125
69.67,4.75,21.66,7.12,74.44,9.71,32.55,7.99,95.63,3.15,69.45,5.58,80.29,3.58,57,478,22,211,8,0.0625,0.25
70.97,4.19,24.18,4.17,76.70,5.38,36.53,4.72,96.22,0.52,70.22,5.21,81.07,3.26,64,481,19,204,8,0.0625,0.5
73.06,3.83,33.94,4.24,75.68,8.19,46.53,4.11,94.26,1.62,72.60,5.24,81.89,3.14,90,471,29,178,8,0.0625,1
70.97,4.24,40.92,6.54,62.75,4.13,49.23,5.51,87.07,2.75,73.21,5.48,79.46,3.84,109,436,64,159,8,0.0625,2
67.20,5.24,40.38,9.60,53.99,6.19,45.55,7.23,81.67,4.89,71.86,6.54,76.25,4.61,107,409,91,161,8,0.0625,4
69.67,3.15,16.66,7.17,82.32,13.78,26.81,10.19,97.82,1.41,68.76,4.18,80.66,2.58,46,489,11,222,8,0.125,0.03125
68.63,3.91,14.70,3.20,77.53,14.31,24.38,4.66,97.39,1.52,68.07,4.70,80.04,3.26,40,487,13,228,8,0.125,0.0625
71.36,3.81,23.80,9.68,83.27,11.34,35.29,12.90,96.82,2.07,70.41,4.91,81.39,2.88,64,484,16,204,8,0.125,0.125
70.58,4.43,28.56,5.40,69.34,5.21,40.10,5.03,93.42,0.95,70.78,5.68,80.41,3.48,75,467,33,193,8,0.125,0.25
72.92,3.01,35.24,4.56,73.79,6.66,47.25,3.16,93.21,2.24,72.78,4.76,81.63,2.83,94,466,34,174,8,0.125,0.5
73.57,2.75,40.62,6.39,71.76,10.63,51.22,6.04,91.61,2.89,74.18,4.92,81.80,2.13,108,457,43,160,8,0.125,1
70.05,3.43,42.78,6.15,59.61,5.70,49.50,5.09,84.78,1.51,73.35,5.39,78.55,3.19,114,424,76,154,8,0.125,2
67.84,3.61,48.96,11.17,54.83,4.77,50.65,5.65,78.40,5.29,74.12,6.75,75.88,3.57,129,392,108,139,8,0.125,4
70.98,4.97,21.93,9.83,86.14,11.00,33.16,12.95,97.71,1.79,69.99,5.95,81.35,3.39,57,488,12,211,8,0.25,0.03125
69.80,5.56,17.35,10.20,85.55,12.03,27.09,13.72,97.73,2.45,68.93,5.45,80.71,3.96,47,489,11,221,8,0.25,0.0625
70.19,3.31,17.65,7.84,83.33,11.49,28.31,10.04,97.99,1.28,69.08,4.08,80.96,2.61,49,490,10,219,8,0.25,0.125
73.70,2.76,44.66,5.48,69.09,5.25,53.86,3.79,89.41,1.78,74.97,4.81,81.46,2.63,119,447,53,149,8,0.25,0.25
73.83,0.72,42.56,4.00,70.99,10.53,52.71,4.19,90.81,3.00,74.67,3.86,81.81,0.99,114,453,47,154,8,0.25,0.5
73.05,2.49,47.13,6.46,67.10,9.07,54.52,3.04,87.64,3.75,75.38,5.54,80.81,2.17,124,437,63,144,8,0.25,1
67.19,3.94,48.84,7.53,52.94,3.83,50.50,5.01,77.04,3.26,73.60,6.17,75.19,4.16,130,386,114,138,8,0.25,2
66.54,4.06,55.29,10.53,52.26,4.46,52.94,4.33,72.90,6.38,75.20,7.12,73.69,4.56,146,365,135,122,8,0.25,4
73.44,4.10,31.64,6.32,80.73,5.01,44.99,6.46,95.69,2.39,72.27,4.78,82.28,3.46,85,479,21,183,8,0.5,0.03125
74.35,4.12,34.09,6.09,81.01,2.41,47.76,6.31,95.73,0.99,73.06,4.76,82.80,3.39,92,479,21,176,8,0.5,0.0625
75.27,3.71,39.23,7.94,80.61,5.87,51.97,6.74,94.49,3.16,74.33,4.80,83.11,3.26,105,473,27,163,8,0.5,0.125
74.48,2.82,56.54,5.72,65.52,5.12,60.39,3.67,84.17,2.96,78.19,4.57,80.98,2.82,151,421,79,117,8,0.5,0.25
73.70,0.92,52.20,5.40,65.97,10.22,57.56,5.00,85.43,4.62,76.97,3.45,80.79,1.03,140,426,74,128,8,0.5,0.5
72.28,5.20,52.94,10.29,62.25,6.31,56.56,7.33,83.23,2.88,76.56,7.26,79.54,4.19,139,416,84,129,8,0.5,1
63.94,1.11,52.43,3.86,48.50,6.04,49.99,3.16,70.26,3.47,73.29,4.75,71.59,2.34,140,351,149,128,8,0.5,2
65.37,4.04,62.04,12.50,50.97,5.58,54.88,3.94,67.52,9.37,77.04,7.68,71.29,5.58,164,338,162,104,8,0.5,4
76.17,3.94,47.52,6.75,74.69,4.87,57.89,6.14,91.52,1.73,76.38,4.82,83.21,3.27,127,458,42,141,8,1,0.03125
75.40,4.20,46.43,5.45,73.27,1.28,56.69,4.49,90.86,2.02,75.84,5.10,82.62,3.70,124,455,45,144,8,1,0.0625
76.57,4.38,53.20,3.97,72.88,3.10,61.38,2.68,88.94,4.12,77.74,4.86,82.93,4.25,142,446,54,126,8,1,0.125
72.80,4.29,68.46,4.39,59.90,5.14,63.64,2.68,75.26,5.43,81.21,5.33,78.01,4.61,182,377,123,86,8,1,0.25
72.92,2.51,57.34,6.65,63.94,11.46,59.23,3.79,81.99,7.08,78.09,4.53,79.62,2.27,152,408,92,116,8,1,0.5
68.37,4.05,55.26,11.96,55.75,7.91,54.11,6.26,76.27,8.05,76.13,6.93,75.61,4.03,145,380,120,123,8,1,1
65.36,2.40,63.99,7.49,49.98,5.08,55.82,4.74,66.10,3.13,77.36,5.41,71.17,2.96,171,331,169,97,8,1,2
64.19,3.12,68.26,8.76,49.14,7.41,56.60,6.06,62.07,6.70,78.89,5.61,69.05,3.75,183,310,190,85,8,1,4
76.96,2.84,62.09,7.82,69.13,3.68,64.97,2.84,85.41,1.25,80.41,5.70,82.72,2.74,164,427,73,104,8,2,0.03125
75.53,3.96,59.51,3.94,66.93,1.41,62.91,2.05,83.93,4.03,79.18,4.68,81.46,4.11,159,421,79,109,8,2,0.0625
76.57,3.91,64.43,5.45,67.73,4.99,65.67,1.35,83.20,5.02,80.93,5.35,81.96,4.34,171,417,83,97,8,2,0.125
71.37,4.36,81.80,6.38,56.52,5.50,66.43,3.00,66.12,7.20,86.56,6.03,74.68,5.63,217,331,169,51,8,2,0.25
68.23,4.58,58.52,7.46,55.73,10.61,55.92,5.72,74.19,8.65,76.83,5.29,75.01,4.25,155,369,131,113,8,2,0.5
66.54,4.38,57.55,14.30,51.92,4.59,53.56,6.95,72.05,5.99,76.23,8.53,73.54,3.97,151,360,140,117,8,2,1
59.88,4.18,64.54,5.21,45.43,7.20,52.62,4.26,58.14,7.07,75.15,5.58,65.11,4.31,171,289,211,97,8,2,2
64.58,3.00,68.91,7.70,49.55,6.20,57.18,4.26,62.09,8.52,79.14,4.73,69.08,5.50,185,311,189,83,8,2,4
74.48,1.89,73.37,8.55,61.91,6.87,66.33,2.38,75.44,6.98,83.99,5.02,79.13,3.28,195,377,123,73,8,4,0.03125
74.10,4.17,71.50,5.87,61.29,3.05,65.73,1.52,75.18,7.77,82.78,4.81,78.62,5.80,191,378,122,77,8,4,0.0625
74.09,3.93,68.46,7.96,62.42,5.30,64.64,1.75,76.54,8.92,81.96,4.02,78.88,5.35,184,385,115,84,8,4,0.125
68.23,3.42,83.48,5.48,52.46,6.80,64.29,6.42,59.70,4.78,87.36,3.28,70.83,3.98,225,299,201,43,8,4,0.25
65.37,4.97,47.59,2.17,51.83,12.68,48.94,7.45,75.22,7.78,72.78,3.35,73.70,4.02,128,374,126,140,8,4,0.5
62.38,5.08,59.82,8.66,47.39,5.35,52.22,3.49,63.92,9.89,74.65,6.29,68.31,6.94,159,320,180,109,8,4,1
58.85,3.20,69.58,5.52,44.31,4.67,53.79,3.19,52.93,8.12,76.08,5.84,62.13,6.65,186,266,234,82,8,4,2
